id,url,fund_name,company,category_obj_id,rate,return_percent,risk,fee,net_assets,delete_flag
3670,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013121202,HSBC ニューフロンティア株式オープン,HSBC,46,2,-9.15,20.95,2.09,376,0
3671,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015011304,米国リート厳選ファンド(資産成長型),三井住友DS,40,2,-4.05,20.95,1.82,586,0
3672,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2006073102,グローバル不動産投信(隔月決算型) 『愛称：家主生活』,三井住友DS,39,2,-6.47,20.96,1.75,707,0
3673,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2008040701,上場インデックス中国A株 E FUND CSI300 『愛称：上場パンダ』,日興,51,2,1.51,20.96,0.53,2031,0
3674,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2014081801,アセアン真成長株式ファンド ,三菱UFJ国際,46,2,-6.72,20.97,1.71,1688,0
3675,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015011303,米国リート厳選ファンド(毎月決算型),三井住友DS,40,2,-4.32,20.97,1.82,671,0
3676,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201501300F,NN 欧州リート･ファンド(資産形成/H有) 『愛称：アビーロード』,NN,26,2,-6.98,20.97,1.6,188,0
3677,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2008110403,ワールド･リート･オープン(1年決算型),三菱UFJ国際,39,2,-9.06,20.98,1.71,9756,0
3678,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2010102906,中華圏株式ファンド(毎月分配型) 『愛称：チャイワン』,日興,51,2,3.66,21.0,1.76,36754,0
3679,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2014072305,UBS 世界公共インフラ債券ペソ(毎月),UBS,11,2,1.99,21.0,1.67,204,0
3680,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2012021703,ダイワ・アセアン内需関連株ファンド,大和,46,2,-7.16,21.01,1.82,1697,0
3681,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2012092101,日興 グラビティ・ファンド,日興,38,2,-4.66,21.02,1.93,669,0
3682,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009090904,野村PIMCO･米国ハイ･イールド(レアル)毎月,野村,21,2,-11.47,21.03,1.68,4606,0
3683,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201209280D,イーストS・フィリピン株式オープン,イーストS,53,2,-12.93,21.05,1.87,1594,0
3684,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013072303,通貨選択型ニッセイ 世界高配当株F(毎月),ニッセイ,32,2,-4.66,21.05,1.96,1543,0
3685,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2014072306,UBS 世界公共インフラ債券ペソ(年2回),UBS,11,2,1.91,21.06,1.67,35,0
3686,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2006042002,三井住友･グローバル･リート(1年決算) 『愛称：世界の大家さん(1年決算型)』,三井住友DS,39,2,-6.52,21.06,1.75,683,0
3687,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2008030705,DCグローバル･リート･オープン 『愛称：世界ビルコレクション』,三井住友DS,39,2,-6.47,21.06,1.64,278,0
3688,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2017042801,グローバル自動運転関連株式ファンド(H有),三井住友DS,42,2,0.46,21.06,1.9,21413,0
3689,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015042804,アセアンワールドファンド,キャピタルAM,46,2,-6.46,21.06,1.99,253,0
3690,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013042603,カナダ高配当株ツインα(毎月分配型),三井住友DS,41,2,-4.68,21.07,2.0,21269,0
3691,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2014031906,米国割安株ファンド 『愛称：ザ･バリューハンター』,アセマネOne,41,2,-2.92,21.1,1.9,4577,0
3692,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201310250F,好配当米国株式プレミアムF 通貨　プレミアム 『愛称：US4ストラテジー』,SOMPO,41,2,-7.58,21.12,1.9,909,0
3693,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015070601,米国小型バリュー株ファンド Aコース(H有) 『愛称：アメリカン･エンジェル』,アセマネOne,36,2,-3.87,21.14,2.02,297,0
3694,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013083004,ダイワ 欧州高配当株ファンド(H無),大和,30,2,-3.98,21.14,1.65,716,0
3695,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013072304,通貨選択型ニッセイ 世界高配当株F(年2回),ニッセイ,32,2,-4.56,21.14,1.96,291,0
3696,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015021601,三井住友･ニュー･アジア･ファンド ,三井住友DS,46,2,-7.39,21.17,1.9,1275,0
3697,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=201501300E,NN 欧州リート･ファンド(毎月決算/H有) 『愛称：アビーロード』,NN,26,2,-7.13,21.17,1.6,419,0
3698,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2012012605,野村 アジアハイ･イールド債券(通貨)年2,野村,21,2,-6.72,21.22,1.86,406,0
3699,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2012012602,野村 アジアハイ･イールド債券(通貨)毎月,野村,21,2,-6.81,21.25,1.86,3898,0
3700,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=1999102907,JPM･E-フロンティア･オープン,JPモルガン,44,2,-0.55,21.29,1.76,5771,0
3701,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013101105,アムンディ・りそな米国ハイ･イールド(ペソ),アムンディ,21,2,-0.69,21.31,1.6,809,0
3702,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2015020601,ニッポン成長株オープン 『愛称：一等星』,岡三,50,2,-1.18,21.31,1.69,2292,0
3703,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2005061501,日興AM 中国A株ファンド2 『愛称：黄河II』,日興,51,2,5.26,21.32,2.31,2095,0
3704,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013102406,国際･キャピタル 日本株式(貨)ユーロ(1年),三菱UFJ国際,31,2,0.31,21.34,1.93,18,0
3705,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011061706,成長株ジャパン･オープン,三菱UFJ国際,44,2,-0.37,21.36,1.85,11072,0
3706,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013102407,国際･キャピタル 日本株式(貨)ユーロ(毎),三菱UFJ国際,31,2,0.26,21.38,1.93,83,0
3707,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=1999121502,JPM ザ･ジャパン,JPモルガン,44,2,-0.59,21.52,1.87,64916,0
3708,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2016092102,楽天 エマージング株式ファンド,楽天,46,2,-7.13,21.64,0.86,987,0
3709,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009073124,新世代自動車株式ファンド 『愛称：自動車革命』,三井住友DS,38,2,-2.93,21.69,1.57,382,0
3710,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2011072204,新興国中小型株ファンド,アセマネOne,46,2,-6.54,21.72,2.09,947,0
3711,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2013041601,ダイワ・ライジング・アセアン株式ファンド,大和,46,2,-7.07,21.77,1.82,5171,0
3712,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200907240B,UBS 世界公共インフラ債券ランド(年2回),UBS,11,2,-1.58,21.8,1.67,19,0
3713,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=200907240A,UBS 世界公共インフラ債券ランド(毎月),UBS,11,2,-1.55,21.83,1.67,105,0
3714,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2010070601,DCダイワ 新興国株式ファンダメンタル,大和,26,2,-4.76,21.84,0.37,1382,0
3715,http://www.morningstar.co.jp/FundData/SnapShot.do?fnc=2009111608,ハイブリッド証券ファンド(ランド),アセマネOne,3,2,-1.7,21.88,1.71,71,0
