id,Unnamed: 0,国内株式,国内債券,国内リート,全世界株式,先進国株式,先進国債券,先進国リート,新興国株式,新興国債券,新興国リート
0,国内株式,-,,,,,,,,,
1,国内債券,-0.185,-,,,,,,,,
2,国内リート,0.554,0.342,-,,,,,,,
3,全世界株式,0.639,-0.203,0.331,-,,,,,,
4,先進国株式,0.644,-0.203,0.327,0.997,-,,,,,
5,先進国債券,0.537,-0.155,0.246,0.743,0.746,-,,,,
6,先進国リート,0.492,0.002,0.326,0.794,0.789,0.644,-,,,
7,新興国株式,0.535,-0.174,0.315,0.890,0.852,0.625,0.717,-,,
8,新興国債券,0.556,-0.143,0.338,0.791,0.761,0.779,0.764,0.867,-,
9,新興国リート,0.587,-0.055,0.434,0.669,0.641,0.583,0.746,0.742,0.859,-
